id,genus,name_german,name_original,treetop_diam,tree_height,year_of_planting,license,credits
"3243591",Ailanthus,,Ailanthus altissima,"10","25","1982",Deutschland Namensnennung 2.0,Land Berlin
"3244088",Betula,,Betula pendula,"5","15","1987",Deutschland Namensnennung 2.0,Land Berlin
"3244089",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","7","1987",Deutschland Namensnennung 2.0,Land Berlin
"3244189",Quercus,Rot-Eiche,Quercus rubra,"8","25","1985",Deutschland Namensnennung 2.0,Land Berlin
"3246147",Tilia,Krim-Linde,Tilia euchlora,"7","10","1940",Deutschland Namensnennung 2.0,Land Berlin
"3246577",Quercus,Stiel-Eiche,Quercus robur,"6","25","1924",Deutschland Namensnennung 2.0,Land Berlin
"3247831",Quercus,Rot-Eiche,Quercus rubra,"6","25","1993",Deutschland Namensnennung 2.0,Land Berlin
"3249751",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"4","12","1993",Deutschland Namensnennung 2.0,Land Berlin
"3249784",Acer,Berg-Ahorn,Acer pseudoplatanus,"5","12","1999",Deutschland Namensnennung 2.0,Land Berlin
"3250080",Acer,Eschen-Ahorn,Acer negundo,"11","12","1983",Deutschland Namensnennung 2.0,Land Berlin
"3250811",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"11","17","1965",Deutschland Namensnennung 2.0,Land Berlin
"3250832",Acer,Spitz-Ahorn,Acer platanoides,"5","15","2000",Deutschland Namensnennung 2.0,Land Berlin
"3252103",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"5","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"3252455",Corylus,Baum-Hasel,Corylus colurna,"4","10","2000",Deutschland Namensnennung 2.0,Land Berlin
"3253267",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","12","1987",Deutschland Namensnennung 2.0,Land Berlin
"3254700",Acer,Spitz-Ahorn,Acer platanoides,"5","12","1996",Deutschland Namensnennung 2.0,Land Berlin
"3254909",Acer,Spitz-Ahorn,Acer platanoides,"4","12","1996",Deutschland Namensnennung 2.0,Land Berlin
"3255457",Acer,Spitz-Ahorn,Acer platanoides,"6","10","1992",Deutschland Namensnennung 2.0,Land Berlin
"3255653",Acer,Eschen-Ahorn,Acer negundo,"8","7","1956",Deutschland Namensnennung 2.0,Land Berlin
"3256092",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"10","25","1965",Deutschland Namensnennung 2.0,Land Berlin
"3256351",Acer,Spitz-Ahorn,Acer platanoides,"3.5","10","1990",Deutschland Namensnennung 2.0,Land Berlin
"3258618",Populus,Kanada-Pappel 'Robusta',Populus x canadensis 'Robusta',"5","20","1985",Deutschland Namensnennung 2.0,Land Berlin
"3258813",Prunus,Kirsch-Pflaume,Prunus cerasifera,"4","5","1985",Deutschland Namensnennung 2.0,Land Berlin
"3258816",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"5","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"3258818",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"5","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"3258819",Acer,Eschen-Ahorn,Acer negundo,"8","10","1985",Deutschland Namensnennung 2.0,Land Berlin
