id,genus,name_german,name_original,treetop_diam,tree_height,year_of_planting,license,credits
"3246525",Acer,Spitz-Ahorn,Acer platanoides,"13","20","1924",Deutschland Namensnennung 2.0,Land Berlin
"3246539",Tilia,Sommer-Linde,Tilia platyphyllos,"10","25","1924",Deutschland Namensnennung 2.0,Land Berlin
"3246551",Acer,Spitz-Ahorn,Acer platanoides,"7","15","1982",Deutschland Namensnennung 2.0,Land Berlin
"3246563",Corylus,Baum-Hasel,Corylus colurna,"4","12","1965",Deutschland Namensnennung 2.0,Land Berlin
"3246564",Corylus,Baum-Hasel,Corylus colurna,"3.5","12","1965",Deutschland Namensnennung 2.0,Land Berlin
"3246572",Aesculus,,Aesculus carnea,"4","5","2011",Deutschland Namensnennung 2.0,Land Berlin
"3246593",Tilia,Sommer-Linde,Tilia platyphyllos,"4","7","1965",Deutschland Namensnennung 2.0,Land Berlin
"3246612",Acer,Spitz-Ahorn,Acer platanoides,"3","17","1965",Deutschland Namensnennung 2.0,Land Berlin
"3246614",Aesculus,,Aesculus carnea,"9","17","1930",Deutschland Namensnennung 2.0,Land Berlin
"3246635",Acer,Berg-Ahorn,Acer pseudoplatanus,"4","7","1999",Deutschland Namensnennung 2.0,Land Berlin
"3246641",Quercus,,Picea pungens,"4","3","1985",Deutschland Namensnennung 2.0,Land Berlin
"3246642",Arbutus,,Pseudotsuga menziesii Var. Caesia,"8","17","1970",Deutschland Namensnennung 2.0,Land Berlin
"3246644",Corylus,Baum-Hasel,Corylus colurna,"5","10","1990",Deutschland Namensnennung 2.0,Land Berlin
"3246645",Corylus,Baum-Hasel,Corylus colurna,"5","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"3246657",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"6","7","1997",Deutschland Namensnennung 2.0,Land Berlin
"3246667",Corylus,Baum-Hasel,Corylus colurna,"10","17","1965",Deutschland Namensnennung 2.0,Land Berlin
"3246687",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"2","3","2006",Deutschland Namensnennung 2.0,Land Berlin
"3246689",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"2","3","2006",Deutschland Namensnennung 2.0,Land Berlin
"3246696",Tilia,Sommer-Linde,Tilia platyphyllos,"8","22","1924",Deutschland Namensnennung 2.0,Land Berlin
"3246697",Tilia,Sommer-Linde,Tilia platyphyllos,"13","25","1924",Deutschland Namensnennung 2.0,Land Berlin
"3246708",Salix,Silber-Weide,Salix alba,"10","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"3246710",Pyrus,Chinesische Birne 'Chanticleer',Pyrus calleryana 'Chanticleer',"2","7","2006",Deutschland Namensnennung 2.0,Land Berlin
"3246714",Tilia,Sommer-Linde,Tilia platyphyllos,"11","25","1924",Deutschland Namensnennung 2.0,Land Berlin
"3246715",Betula,,Betula spec.,"2","5","2005",Deutschland Namensnennung 2.0,Land Berlin
"3246722",Tilia,Winter-Linde 'Greenspire',Tilia cordata 'Greenspire',"3","7","2007",Deutschland Namensnennung 2.0,Land Berlin
"3246730",Ulmus,Flatter-Ulme,Ulmus laevis,"10","17","1946",Deutschland Namensnennung 2.0,Land Berlin
"3246738",Prunus,Japanische Blütenkirsche 'Kanzan',Prunus serrulata 'Kanzan',"6","8","2003",Deutschland Namensnennung 2.0,Land Berlin
"3246743",Populus,Simons Pappel,Populus simonii,"8","27","1965",Deutschland Namensnennung 2.0,Land Berlin
"3246758",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"3","7","2007",Deutschland Namensnennung 2.0,Land Berlin
"3246759",Populus,,Populus x canadensis Hybride,"5","12","1965",Deutschland Namensnennung 2.0,Land Berlin
"3246760",Tilia,Winter-Linde 'Greenspire',Tilia cordata 'Greenspire',"1.5","7","2007",Deutschland Namensnennung 2.0,Land Berlin
"3246770",Catalpa,Gewöhnlicher Trompetenbaum,Catalpa bignonioides,"4","5","2006",Deutschland Namensnennung 2.0,Land Berlin
"3246779",Acer,Spitz-Ahorn,Acer platanoides,"5","10","1975",Deutschland Namensnennung 2.0,Land Berlin
"3246781",Acer,Berg-Ahorn,Acer pseudoplatanus,"6","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3246823",Aesculus,,Aesculus carnea,"1","3","2012",Deutschland Namensnennung 2.0,Land Berlin
"3246827",Sorbus,Schwedische Mehlbeere,Sorbus intermedia,"1","3","2012",Deutschland Namensnennung 2.0,Land Berlin
"3246829",Ulmus,Berg-Ulme,Ulmus glabra,"10","12","1992",Deutschland Namensnennung 2.0,Land Berlin
"3246830",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"8","12","1965",Deutschland Namensnennung 2.0,Land Berlin
"3246834",Quercus,,Platanus acerifolia,"1.5","5","2003",Deutschland Namensnennung 2.0,Land Berlin
"3246838",Betula,,Betula pendula,"6","17","1975",Deutschland Namensnennung 2.0,Land Berlin
"3246850",Ulmus,Ulme 'Plantijn',Ulmus Hybride 'Plantijn',"3","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3246852",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"5","14","1995",Deutschland Namensnennung 2.0,Land Berlin
"3246857",Ulmus,Ulme 'Plantijn',Ulmus Hybride 'Plantijn',"4","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3246858",Ulmus,Ulme 'Plantijn',Ulmus Hybride 'Plantijn',"4","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3246860",Quercus,,Platanus acerifolia,"4","12","1965",Deutschland Namensnennung 2.0,Land Berlin
"3246869",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"6","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"3246871",Prunus,Zwerg-Kirsche,Prunus fruticosa,"4","3","1990",Deutschland Namensnennung 2.0,Land Berlin
"3246872",Gleditsia,Amerikanische Gleditschie 'Skyline',Gleditsia triacanthos 'Skyline',"2","3","2014",Deutschland Namensnennung 2.0,Land Berlin
"3246874",Tilia,Silber-Linde 'Szeleste',Tilia tomentosa 'Szeleste',"1","3","2014",Deutschland Namensnennung 2.0,Land Berlin
"3246878",Acer,Feld-Ahorn,Acer campestre,"6","12","1993",Deutschland Namensnennung 2.0,Land Berlin
"3246899",Quercus,,Platanus acerifolia,"7","17","1965",Deutschland Namensnennung 2.0,Land Berlin
"3246902",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"2","12","2006",Deutschland Namensnennung 2.0,Land Berlin
"3246909",Crataegus,,Crataegus laevigata 'Paul´s Scarlet',"5","3","1999",Deutschland Namensnennung 2.0,Land Berlin
"3246925",Tilia,Sommer-Linde,Tilia platyphyllos,"9","19","1924",Deutschland Namensnennung 2.0,Land Berlin
"3246969",Quercus,,Platanus acerifolia,"6.5","25","1998",Deutschland Namensnennung 2.0,Land Berlin
"3246974",Carpinus,Gewöhnliche Hainbuche 'Franx Fontaine',Carpinus betulus 'Frans Fontaine',"2","5","2015",Deutschland Namensnennung 2.0,Land Berlin
"3246982",Tilia,Winter-Linde 'Rancho',Tilia cordata 'Rancho',"2","10","2005",Deutschland Namensnennung 2.0,Land Berlin
